rowid,pl_name,hostname,pl_orbper,pl_orblper,pl_orbtper,pl_orbsmax,pl_orbeccen,st_rad,st_mass
0,GJ 251 c,GJ 251,53.647,0.0,,0.196,0.0,0.36,0.35
1,TOI-756 c,TOI-756,149.4,-167.77,,0.439,0.445,0.505,0.505
2,TOI-283 b,TOI-283,17.61745,90.0,,0.123,0.0,0.85,0.8
3,TOI-2345 c,TOI-2345,21.064302,,,0.1257,,0.729,0.727
4,TOI-2345 b,TOI-2345,1.0528573,,,0.01705,,0.729,0.727
5,TOI-756 b,TOI-756,1.2392495,90.0,,0.018,0.0,0.505,0.505
6,55 Cnc B c,55 Cnc B,33.747,,,0.13,0.0,0.274,0.26
7,55 Cnc B b,55 Cnc B,6.7994,,,0.044,0.0,0.274,0.26
8,WISPIT 2 b,WISPIT 2,,,,57.0,,1.418,1.08
9,HD 23079 c,HD 23079,5.748913,283.4,,,0.097,1.08,1.16
10,TOI-5350 b,TOI-5350,7.581367,121.0,,0.0796,0.0165,1.263,1.167
11,TOI-6223 b,TOI-6223,3.855219,,,0.04018,,0.576,0.582
12,TOI-4773 b,TOI-4773,1.7452851,-113.0,,0.03216,0.024,1.55,1.452
13,TOI-5261 b,TOI-5261,4.1509768,32.4,,0.05134,0.1585,1.021,1.037
14,TOI-2449 b,TOI-2449,106.14468,266.0,,0.45,0.098,1.065,1.079
15,HD 196067 c,HD 196067,4.601088,295.5,,,0.235,1.71,1.16
16,HD 143811 AB b,HD 143811 A,117000.0,,,63.0,0.19,1.68398,1.32
17,TOI-2093 c,TOI-2093,53.81149,0.0,,0.257,0.0,0.729,0.745
18,TOI-2093 b,TOI-2093,12.836,90.0,,0.097,0.0,0.729,0.745
19,TOI-5799 c,TOI-5799,14.010449,,,0.0782,,0.321,0.325
20,TOI-6109 c,TOI-6109,8.538878,,,0.0786,,1.021,1.03
21,TOI-6109 b,TOI-6109,5.690476,,,0.0599,,1.021,1.03
22,TOI-1743 b,TOI-1743,4.266046,,,0.03589,,0.338,0.339
23,TOI-6420 b,TOI-6420,6.961508,48.4,,0.0753,0.078,1.312,1.165
24,HIP 111909 c,HIP 111909,893.63,90.0,,1.97,,4.53,1.28
25,TOI-880 c,TOI-880,6.3872703,,,0.0635,,0.83,0.87
26,HIP 18606 b,HIP 18606,674.94,90.0,,1.61,,4.83,1.21
27,HIP 111909 b,HIP 111909,487.08,90.0,,1.32,,4.53,1.28
28,GJ 536 c,GJ 536,32.761,,,0.1617,0.0,0.529,0.528
29,TOI-1203 b,TOI-1203,4.1572888,125.4,2458546.16,0.04869,0.067,1.179,0.886
30,TOI-1203 e,TOI-1203,204.59,189.7,2458962.29,,0.152,1.179,0.886
31,TOI-1203 d,TOI-1203,25.502672,186.4,2458554.96,0.1632,0.032,1.179,0.886
32,TOI-1203 c,TOI-1203,13.0766,172.8,2459201.1,,0.092,1.179,0.886
33,WISPIT 1 b,WISPIT 1,,,,338.0,,1.1161,0.72
34,TOI-1346 b,TOI-1346,1.7622538,,,,,0.78,0.82
35,TOI-2322 c,TOI-2322,20.225528,90.0,,0.1362,0.0,0.662,0.703
36,HD 28471 b,HD 28471,3.1649,152.0,,0.042,0.195,1.08,0.98
37,TOI-1011 b,TOI-1011,2.470498,,,,0.0,0.92,0.91
38,HD 28471 d,HD 28471,11.681,96.0,,0.1,0.093,1.08,0.98
39,HD 28471 c,HD 28471,6.1245,76.0,,0.065,0.088,1.08,0.98
40,TOI-6000 b,TOI-6000,0.448959,,,,,0.38,0.37
41,Proxima Cen d,Proxima Cen,5.12338,4.0,2460557.55,0.02881,0.0,0.141,0.1221
42,KMT-2024-BLG-0404L c,KMT-2024-BLG-0404L,,,,,,,0.09
43,TOI-2322 b,TOI-2322,11.30717,90.0,,0.0924,0.0,0.662,0.703
44,TOI-2719 b,TOI-2719,3.37594,,,,,1.69,1.02
45,HD 135344 A b,HD 135344 A,,8.2,2465405.5,16.5,0.5,1.5,2.32
46,WISPIT 1 c,WISPIT 1,,,,840.0,,1.1161,0.72
47,TOI-4155 b,TOI-4155,3.320729,,,,,0.95,1.16
48,BEBOP-3 b,BEBOP-3,547.0,49.0,2459633.0,1.444,0.247,1.414,1.083
49,AU Mic e,AU Mic,33.11,,,,,0.82,0.6
